prob_high_percent,prob_low_percent,lottery_high_B,lottery_low_B,lottery_high_A,lottery_low_A
10,90,160,128,308,8
20,80,160,128,308,8
30,70,160,128,308,8
40,60,160,128,308,8
50,50,160,128,308,8
60,40,160,128,308,8
70,30,160,128,308,8
80,20,160,128,308,8
90,10,160,128,308,8
100,0,160,128,308,8
